2020-03-01
Cloudflare,Inc., 92963, 34.25%
Unknown, 45597, 16.8%
Google LLC, 38717, 14.27%
Shopify,Inc., 11949, 4.4%
Automattic,Inc, 8417, 3.1%
Squarespace,Inc., 7922, 2.92%
Sucuri, 4224, 1.56%
RIPE Network Coordination Centre, 4109, 1.51%
Liquid Web, 3724, 1.37%
Incapsula Inc, 3697, 1.36%
SiteGround, 3526, 1.3%
Digital Ocean, 2956, 1.09%
Akamai Technologies,Inc., 2066, 0.76%
Amazon Technologies Inc., 2054, 0.76%
GoDaddy.com,LLC, 1792, 0.66%
InMotion Hosting,Inc., 1738, 0.64%
Namecheap,Inc., 1660, 0.61%
XSERVER Inc., 1408, 0.52%
None, 1369, 0.5%
Unified Layer, 1318, 0.49%
A2 Hosting,Inc., 1290, 0.48%
SingleHop LLC, 1279, 0.47%
Linode, 977, 0.36%
WEBSITEWELCOME.COM, 976, 0.36%
Amazon Data Services NoVa, 889, 0.33%
OVH, 666, 0.25%
Asia Pacific Network Information Centre, 571, 0.21%
Vultr Holdings,LLC, 570, 0.21%
PDR, 512, 0.19%
PrivateSystems Networks GA, 491, 0.18%
HostDime.com,Inc., 451, 0.17%
StackPath,LLC., 393, 0.14%
Web Hosting, 391, 0.14%
SYNERGY WHOLESALE PTY LTD, 376, 0.14%
Hetzner Online GmbH, 374, 0.14%
Amazon.com,Inc., 323, 0.12%
InMotion Hosting, 296, 0.11%
co.uk., 285, 0.11%
Amazon Data Services Ireland Limited, 278, 0.1%
Transferred to the RIPE region on 2018-08-27T14, 276, 0.1%
Microsoft Corporation, 274, 0.1%
SoftLayer Technologies Inc., 260, 0.1%
NOC4Hosts Inc., 259, 0.1%
HostPapa, 238, 0.09%
Early registration addresses, 228, 0.08%
MCI Communications Services,Inc. d/b/a Verizon Business, 216, 0.08%
Master Internet, 196, 0.07%
ANS Communications,Inc, 187, 0.07%
Pressable, 184, 0.07%
Vodien Internet Solutions Pte Ltd, 178, 0.07%
Aptum Technologies, 174, 0.06%
PrivateSystems Networks WA, 174, 0.06%
Steadfast, 162, 0.06%
A100 ROW GmbH, 156, 0.06%
SECURED SERVERS LLC, 153, 0.06%
Hostwinds LLC., 151, 0.06%
P.D.R Solutions FZC, 146, 0.05%
iWeb Technologies Inc., 145, 0.05%
Hostopia Australia Web Pty Ltd, 144, 0.05%
NETWORK TRANSIT HOLDINGS LLC, 141, 0.05%
DigiRock,Inc., 137, 0.05%
The Endurance International Group,Inc., 137, 0.05%
Rackspace, 133, 0.05%
one.com., 133, 0.05%
PSINet,Inc., 127, 0.05%
DIGITAL PACIFIC PTY LTD, 124, 0.05%
