2020-07-01
Cloudflare,Inc., 96860, 30.05%
Unknown, 66747, 20.71%
Google LLC, 45817, 14.22%
Shopify,Inc., 12282, 3.81%
Automattic,Inc, 8393, 2.6%
Squarespace,Inc., 7914, 2.46%
WEBSITEWELCOME.COM, 6814, 2.11%
Unified Layer, 6771, 2.1%
RIPE Network Coordination Centre, 4954, 1.54%
Digital Ocean, 4393, 1.36%
Sucuri, 4230, 1.31%
Incapsula Inc, 3732, 1.16%
Liquid Web, 3646, 1.13%
Amazon Technologies Inc., 3073, 0.95%
New Dream Network,LLC, 2597, 0.81%
Akamai Technologies,Inc., 2308, 0.72%
GoDaddy.com,LLC, 1758, 0.55%
InMotion Hosting,Inc., 1695, 0.53%
Namecheap,Inc., 1675, 0.52%
Team Internet AG, 1528, 0.47%
XSERVER Inc., 1446, 0.45%
A2 Hosting,Inc., 1259, 0.39%
Linode, 1219, 0.38%
Amazon Data Services NoVa, 998, 0.31%
SingleHop LLC, 876, 0.27%
NEXT DIMENSION INC, 868, 0.27%
OVH, 797, 0.25%
Asia Pacific Network Information Centre, 717, 0.22%
Hawk Host Inc., 709, 0.22%
Vultr Holdings,LLC, 624, 0.19%
Amazon Data Services Ireland Limited, 601, 0.19%
Microsoft Corporation, 590, 0.18%
Amazon.com,Inc., 587, 0.18%
PDR, 586, 0.18%
Transferred to the RIPE region on 2018-08-27T14, 517, 0.16%
PrivateSystems Networks GA, 491, 0.15%
StackPath,LLC., 480, 0.15%
HostDime.com,Inc., 442, 0.14%
None, 419, 0.13%
SYNERGY WHOLESALE PTY LTD, 383, 0.12%
Web Hosting, 339, 0.11%
A100 ROW GmbH, 331, 0.1%
P.D.R Solutions FZC, 293, 0.09%
NOC4Hosts Inc., 288, 0.09%
InMotion Hosting, 276, 0.09%
HostPapa, 251, 0.08%
Rackspace, 248, 0.08%
MCI Communications Services,Inc. d/b/a Verizon Business, 234, 0.07%
SoftLayer Technologies Inc., 224, 0.07%
Early registration addresses, 222, 0.07%
Steadfast, 213, 0.07%
Pressable, 204, 0.06%
ANS Communications,Inc, 203, 0.06%
Vodien Internet Solutions Pte Ltd, 200, 0.06%
GMO Internet,Inc., 199, 0.06%
Master Internet, 192, 0.06%
co.uk., 178, 0.06%
The Endurance International Group,Inc., 173, 0.05%
PrivateSystems Networks WA, 169, 0.05%
Aptum Technologies, 168, 0.05%
SiteGround, 161, 0.05%
Alibaba.com LLC, 157, 0.05%
AS38719 Routing Object, 156, 0.05%
Amazon Data Services India, 153, 0.05%
iWeb Technologies Inc., 148, 0.05%
Hostopia Australia Web Pty Ltd, 147, 0.05%
NETWORK TRANSIT HOLDINGS LLC, 145, 0.04%
SECURED SERVERS LLC, 144, 0.04%
Media Temple,Inc., 144, 0.04%
PSINet,Inc., 141, 0.04%
DigiRock,Inc., 141, 0.04%
Vercel,Inc, 131, 0.04%
pair Networks, 131, 0.04%
Hosting Services,Inc., 125, 0.04%
Interserver,Inc, 121, 0.04%
Hetzner Online GmbH, 119, 0.04%
Amazon Data Services UK, 116, 0.04%
DIGITAL PACIFIC PTY LTD, 112, 0.03%
Hostgator.com LLC, 112, 0.03%
Amazon Corporate Services Pty Ltd, 110, 0.03%
Alibaba (US) Technology Co.,Ltd., 108, 0.03%
Hostgator India Route, 106, 0.03%
Psychz Networks, 106, 0.03%
Leaseweb USA,Inc., 101, 0.03%
African Network Information Center, 98, 0.03%
Afrihost, 96, 0.03%
QuadraNet Enterprises LLC, 94, 0.03%
Latin American and Caribbean IP address Regional Registry, 94, 0.03%
Input Output Flood LLC, 91, 0.03%
Fastly, 90, 0.03%
Performive LLC, 90, 0.03%
NEUBOX,LLC, 86, 0.03%
Hostopia Australia Pty Ltd, 81, 0.03%
Corporate Colocation Inc., 81, 0.03%
Web Hosting Hub,Inc, 81, 0.03%
Rochen US,Inc., 78, 0.02%
Server Central Network, 72, 0.02%
AZDIGI-VN, 70, 0.02%
Serverfreak Technologies Sdn Bhd, 69, 0.02%
CarsForSale.com, 69, 0.02%
OVH (NWK), 68, 0.02%
Amazon Data Services Singapore, 68, 0.02%
Amazon Data Services Brazil, 68, 0.02%
Host Papa,Inc., 67, 0.02%
Panelbox, 66, 0.02%
Transferred to the RIPE region on 2018-06-27T02, 66, 0.02%
Hurricane Electric LLC, 65, 0.02%
Taipei Taiwan, 65, 0.02%
Exa Bytes Network Sdn.Bhd., 64, 0.02%
Hostwinds LLC., 64, 0.02%
1&1 IONOS Inc., 63, 0.02%
Net Virtue Pty Ltd, 62, 0.02%
BigScoots, 61, 0.02%
Net Logistics, 60, 0.02%
Choopa,LLC, 59, 0.02%
Limestone Networks,Inc., 58, 0.02%
IHNetworks,LLC, 58, 0.02%
Turnkey Internet Inc., 58, 0.02%
Oracle Corporation, 57, 0.02%
Amazon Data Services Canada, 56, 0.02%
NearlyFreeSpeech.NET, 56, 0.02%
UpCloud USA Inc, 55, 0.02%
Amazon Data Services France, 53, 0.02%
Hostway Services,Inc., 53, 0.02%
HIVELOCITY,Inc., 52, 0.02%
Incapsula Inc., 52, 0.02%
1-grid, 52, 0.02%
GloboTech Communications, 51, 0.02%
In2net Network Inc., 51, 0.02%
Public domain registry Operations, 51, 0.02%
GMO DigiRock,Inc., 51, 0.02%
RamNode LLC, 50, 0.02%
Comcast Cable Communications,LLC, 50, 0.02%
HostRocket Web Services, 50, 0.02%
DFW Internet Services,Inc., 47, 0.01%
Codero, 47, 0.01%
SAKURA Internet Inc., 47, 0.01%
VeeroTech Systems LLC, 47, 0.01%
ENDURANCE WEB SOLUTIONS PRIVATE LIMITED, 47, 0.01%
New Taipei City Taiwan, 46, 0.01%
Bitly Inc, 45, 0.01%
SiteTech Solutions Limited, 45, 0.01%
WZ Communications Inc., 45, 0.01%
123 Truong Dinh,dist 3,HCMC, 44, 0.01%
WestHost,Inc., 44, 0.01%
UD Media GmbH, 43, 0.01%
ReliableSite.Net LLC, 43, 0.01%
SUPERDATA-VN, 42, 0.01%
Kamatera,Inc., 41, 0.01%
DFW Datacenter, 41, 0.01%
Wowrack.com, 41, 0.01%
netowl,Inc, 41, 0.01%
Servers Australia Pty. Ltd, 40, 0.01%
agava.net., 40, 0.01%
Amazon Data Services Sweden, 39, 0.01%
WholeSale Internet,Inc., 39, 0.01%
FranTech Solutions, 38, 0.01%
GZO, 38, 0.01%
GigeNET, 37, 0.01%
TierPoint,LLC, 37, 0.01%
Oath Holdings Inc., 36, 0.01%
TechEVE Ltd, 35, 0.01%
NEXCESS.NET L.L.C., 35, 0.01%
EBOUNDHOST.com, 35, 0.01%
Handy Networks,LLC, 35, 0.01%
QuadraNet,Inc, 34, 0.01%
PEG TECH INC, 34, 0.01%
Internap Holding LLC, 32, 0.01%
Tencent Cloud Computing (Beijing) Co.,Ltd, 32, 0.01%
Fused Network Corporation, 31, 0.01%
Jakarta Selatan, 30, 0.01%
PrivateSystems Networks TX, 30, 0.01%
Expedient, 30, 0.01%
Retailer Web Services LLC, 28, 0.01%
PRETECS NETWORKS INC., 27, 0.01%
mouser electronics, 27, 0.01%
Foroquimica SL, 27, 0.01%
Idigital Internet Inc., 27, 0.01%
Charter Communications Inc, 27, 0.01%
OC1-Mochahost,LLC, 27, 0.01%
Hostiserver Ltd, 27, 0.01%
Route Object, 27, 0.01%
Liquid Web,Inc, 27, 0.01%
Surabaya, 27, 0.01%
eNET Inc., 26, 0.01%
Akamai International,BV, 26, 0.01%
Scala Hosting,LLC., 26, 0.01%
Nocix,LLC, 26, 0.01%
Beijing 100088, 26, 0.01%
INTERNET COMPANY OF NEW ZEALAND LIMITED, 25, 0.01%
Rose Web Services LLC, 25, 0.01%
Vietnam Internet Network Information Center (VNNIC), 25, 0.01%
AT&T Corp., 25, 0.01%
