2020-11-01
Cloudflare,Inc., 99574, 25.75%
Unknown, 93565, 24.2%
Google LLC, 46883, 12.13%
Shopify,Inc., 12655, 3.27%
Amazon.com,Inc., 10184, 2.63%
Automattic,Inc, 8366, 2.16%
Unified Layer, 8351, 2.16%
Squarespace,Inc., 7946, 2.06%
RIPE Network Coordination Centre, 7752, 2.01%
WEBSITEWELCOME.COM, 6695, 1.73%
Liquid Web,L.L.C, 4976, 1.29%
DigitalOcean,LLC, 4868, 1.26%
Sucuri, 4204, 1.09%
Amazon Technologies Inc., 3765, 0.97%
Incapsula Inc, 3730, 0.96%
Akamai Technologies,Inc., 2651, 0.69%
New Dream Network,LLC, 2619, 0.68%
GoDaddy.com,LLC, 2217, 0.57%
Namecheap,Inc., 1965, 0.51%
InMotion Hosting,Inc., 1956, 0.51%
Asia Pacific Network Information Centre, 1886, 0.49%
Linode, 1508, 0.39%
A2 Hosting,Inc., 1494, 0.39%
XSERVER Inc., 1477, 0.38%
Amazon Data Services NoVa, 1439, 0.37%
Team Internet AG, 1411, 0.36%
OVH Hosting,Inc., 1354, 0.35%
Fastly, 956, 0.25%
SingleHop LLC, 940, 0.24%
Microsoft Corporation, 859, 0.22%
Vultr Holdings,LLC, 819, 0.21%
Transferred to the RIPE region on 2018-08-27T14, 816, 0.21%
NEXT DIMENSION INC, 806, 0.21%
Amazon Data Services Ireland Limited, 769, 0.2%
PrivateSystems Networks GA, 756, 0.2%
HostDime.com,Inc., 660, 0.17%
Server Central Network, 645, 0.17%
Hawk Host Inc., 637, 0.16%
NOC4Hosts Inc., 628, 0.16%
Rackspace Hosting, 573, 0.15%
PDR, 562, 0.15%
StackPath,LLC., 517, 0.13%
A100 ROW GmbH, 492, 0.13%
SYNERGY WHOLESALE PTY LTD, 422, 0.11%
GMO Internet,Inc., 398, 0.1%
SingleHop BV, 359, 0.09%
Interserver,Inc, 349, 0.09%
P.D.R Solutions FZC, 333, 0.09%
WPEngine,Inc., 332, 0.09%
GitHub,Inc., 308, 0.08%
iWeb Technologies Inc., 307, 0.08%
HostPapa, 305, 0.08%
SoftLayer Technologies Inc., 298, 0.08%
PSINet,Inc., 284, 0.07%
InMotion Hosting, 279, 0.07%
Reflected Networks,Inc., 277, 0.07%
Steadfast, 254, 0.07%
Amazon Data Services India, 253, 0.07%
Early registration addresses, 245, 0.06%
