2020-10-01
Cloudflare,Inc., 39541, 25.59%
Unknown, 34878, 22.57%
Google LLC, 19612, 12.69%
Shopify,Inc., 5763, 3.73%
Squarespace,Inc., 4207, 2.72%
Amazon.com,Inc., 4159, 2.69%
Automattic,Inc, 3445, 2.23%
Unified Layer, 3246, 2.1%
RIPE Network Coordination Centre, 2844, 1.84%
WEBSITEWELCOME.COM, 2699, 1.75%
Liquid Web,L.L.C, 2291, 1.48%
DigitalOcean,LLC, 1994, 1.29%
Sucuri, 1854, 1.2%
Amazon Technologies Inc., 1571, 1.02%
Incapsula Inc, 1483, 0.96%
Akamai Technologies,Inc., 1213, 0.79%
GoDaddy.com,LLC, 1125, 0.73%
New Dream Network,LLC, 1108, 0.72%
InMotion Hosting,Inc., 887, 0.57%
Namecheap,Inc., 787, 0.51%
Amazon Data Services NoVa, 679, 0.44%
Linode, 606, 0.39%
A2 Hosting,Inc., 559, 0.36%
Team Internet AG, 536, 0.35%
Asia Pacific Network Information Centre, 519, 0.34%
OVH Hosting,Inc., 516, 0.33%
SingleHop LLC, 452, 0.29%
Microsoft Corporation, 349, 0.23%
Amazon Data Services Ireland Limited, 325, 0.21%
Vultr Holdings,LLC, 322, 0.21%
PrivateSystems Networks GA, 322, 0.21%
Transferred to the RIPE region on 2018-08-27T14, 293, 0.19%
NEXT DIMENSION INC, 291, 0.19%
HostDime.com,Inc., 277, 0.18%
Hawk Host Inc., 262, 0.17%
Rackspace Hosting, 254, 0.16%
Server Central Network, 250, 0.16%
NOC4Hosts Inc., 233, 0.15%
PDR, 225, 0.15%
Fastly, 190, 0.12%
StackPath,LLC., 190, 0.12%
A100 ROW GmbH, 187, 0.12%
XSERVER Inc., 181, 0.12%
HostPapa, 154, 0.1%
Interserver,Inc, 142, 0.09%
SoftLayer Technologies Inc., 140, 0.09%
GitHub,Inc., 135, 0.09%
SYNERGY WHOLESALE PTY LTD, 128, 0.08%
InMotion Hosting, 127, 0.08%
P.D.R Solutions FZC, 124, 0.08%
MCI Communications Services,Inc. d/b/a Verizon Business, 121, 0.08%
Reflected Networks,Inc., 120, 0.08%
PSINet,Inc., 113, 0.07%
Media Temple,Inc., 109, 0.07%
The Endurance International Group,Inc., 109, 0.07%
Pressable, 109, 0.07%
PrivateSystems Networks WA, 106, 0.07%
Leaseweb USA,Inc., 103, 0.07%
Amazon Data Services UK, 103, 0.07%
iWeb Technologies Inc., 101, 0.07%
Steadfast, 101, 0.07%
Hosting Services,Inc., 99, 0.06%
SECURED SERVERS LLC, 99, 0.06%
SingleHop BV, 96, 0.06%
Aptum Technologies, 96, 0.06%
Early registration addresses, 94, 0.06%
CDK Global,LLC, 94, 0.06%
ANS Communications,Inc, 90, 0.06%
Vercel,Inc, 89, 0.06%
African Network Information Center, 88, 0.06%
Amazon Data Services India, 84, 0.05%
Vodien Internet Solutions Pte Ltd, 81, 0.05%
QuadraNet Enterprises LLC, 79, 0.05%
Alibaba.com LLC, 79, 0.05%
GMO Internet,Inc., 76, 0.05%
HIVELOCITY,Inc., 73, 0.05%
Input Output Flood LLC, 71, 0.05%
NETWORK TRANSIT HOLDINGS LLC, 67, 0.04%
Psychz Networks, 65, 0.04%
pair Networks, 65, 0.04%
Performive LLC, 65, 0.04%
Taipei Taiwan, 65, 0.04%
Transferred to the RIPE region on 2018-06-27T02, 60, 0.04%
DIGITAL PACIFIC PTY LTD, 57, 0.04%
Latin American and Caribbean IP address Regional Registry, 56, 0.04%
Hostopia Australia Web Pty Ltd, 54, 0.03%
Exa Bytes Network Sdn.Bhd., 51, 0.03%
DFW Datacenter, 50, 0.03%
Hostgator.com LLC, 49, 0.03%
Hostwinds LLC., 48, 0.03%
Alibaba (US) Technology Co.,Ltd., 48, 0.03%
Rochen US,Inc., 47, 0.03%
AS38719 Routing Object, 47, 0.03%
BigScoots, 46, 0.03%
Limestone Networks,Inc., 45, 0.03%
UpCloud USA Inc, 45, 0.03%
Amazon Corporate Services Pty Ltd, 45, 0.03%
MDDHosting LLC, 44, 0.03%
Hurricane Electric LLC, 44, 0.03%
CrocWeb, 44, 0.03%
Jumpline Inc, 43, 0.03%
ReliableSite.Net LLC, 43, 0.03%
Afrihost, 42, 0.03%
CarsForSale.com, 42, 0.03%
Panelbox, 42, 0.03%
Codero, 41, 0.03%
Hostgator India Route, 40, 0.03%
OVH (NWK), 40, 0.03%
Shinjiru Technology Sdn Bhd, 40, 0.03%
1&1 IONOS Inc., 39, 0.03%
VeeroTech Systems LLC, 38, 0.02%
Akamai International,BV, 38, 0.02%
Choopa,LLC, 38, 0.02%
AZDIGI-VN, 36, 0.02%
Public domain registry Operations, 36, 0.02%
Web Hosting Hub,Inc, 35, 0.02%
NEUBOX,LLC, 35, 0.02%
TotalChoice Hosting,LLC, 35, 0.02%
FranTech Solutions, 34, 0.02%
WestHost,Inc., 34, 0.02%
Turnkey Internet Inc., 34, 0.02%
PrivateSystems Networks TX, 32, 0.02%
New Taipei City Taiwan, 32, 0.02%
Amazon Data Services Singapore, 32, 0.02%
OVH US LLC, 32, 0.02%
New Taipei City Taiwan 220, 31, 0.02%
Host Papa,Inc., 31, 0.02%
GloboTech Communications, 31, 0.02%
Amazon Data Services Brazil, 30, 0.02%
Net Virtue Pty Ltd, 30, 0.02%
Hostopia Australia Pty Ltd, 30, 0.02%
Corporate Colocation Inc., 30, 0.02%
Serverfreak Technologies Sdn Bhd, 29, 0.02%
SUPERDATA-VN, 29, 0.02%
In2net Network Inc., 28, 0.02%
Handy Networks,LLC, 28, 0.02%
Amazon Data Services Canada, 27, 0.02%
E2E Networks Limited, 27, 0.02%
Foroquimica SL, 26, 0.02%
OC1-Mochahost,LLC, 25, 0.02%
Jakarta Barat,DKI Jakarta 11530, 25, 0.02%
Surabaya, 25, 0.02%
