2020-06-01
Cloudflare,Inc., 95795, 30.28%
Unknown, 62541, 19.77%
Google LLC, 44102, 13.94%
Shopify,Inc., 12175, 3.85%
Automattic,Inc, 8395, 2.65%
Squarespace,Inc., 7837, 2.48%
WEBSITEWELCOME.COM, 6895, 2.18%
Unified Layer, 6668, 2.11%
RIPE Network Coordination Centre, 4685, 1.48%
Sucuri, 4252, 1.34%
Digital Ocean, 4233, 1.34%
Incapsula Inc, 3748, 1.18%
Liquid Web, 3680, 1.16%
Amazon Technologies Inc., 3059, 0.97%
New Dream Network,LLC, 2602, 0.82%
Akamai Technologies,Inc., 2237, 0.71%
GoDaddy.com,LLC, 1841, 0.58%
InMotion Hosting,Inc., 1715, 0.54%
Namecheap,Inc., 1669, 0.53%
Team Internet AG, 1595, 0.5%
XSERVER Inc., 1443, 0.46%
SiteGround, 1315, 0.42%
A2 Hosting,Inc., 1264, 0.4%
Linode, 1177, 0.37%
Amazon Data Services NoVa, 918, 0.29%
SingleHop LLC, 909, 0.29%
NEXT DIMENSION INC, 893, 0.28%
OVH, 794, 0.25%
Hawk Host Inc., 714, 0.23%
Asia Pacific Network Information Centre, 682, 0.22%
None, 643, 0.2%
Vultr Holdings,LLC, 632, 0.2%
Microsoft Corporation, 555, 0.18%
Amazon Data Services Ireland Limited, 534, 0.17%
PrivateSystems Networks GA, 504, 0.16%
Amazon.com,Inc., 497, 0.16%
Transferred to the RIPE region on 2018-08-27T14, 463, 0.15%
StackPath,LLC., 461, 0.15%
HostDime.com,Inc., 453, 0.14%
SYNERGY WHOLESALE PTY LTD, 382, 0.12%
Web Hosting, 353, 0.11%
PDR, 352, 0.11%
A100 ROW GmbH, 318, 0.1%
NOC4Hosts Inc., 301, 0.1%
InMotion Hosting, 270, 0.09%
P.D.R Solutions FZC, 260, 0.08%
HostPapa, 252, 0.08%
SoftLayer Technologies Inc., 239, 0.08%
MCI Communications Services,Inc. d/b/a Verizon Business, 236, 0.07%
Early registration addresses, 231, 0.07%
Rackspace, 226, 0.07%
Steadfast, 213, 0.07%
ANS Communications,Inc, 201, 0.06%
co.uk., 201, 0.06%
Vodien Internet Solutions Pte Ltd, 201, 0.06%
Hetzner Online GmbH, 200, 0.06%
Pressable, 200, 0.06%
