2020-12-01
Cloudflare,Inc., 100168, 25.44%
Unknown, 97714, 24.82%
Google LLC, 46756, 11.87%
Shopify,Inc., 12779, 3.25%
Amazon.com,Inc., 10450, 2.65%
Unified Layer, 8489, 2.16%
Automattic,Inc, 8349, 2.12%
RIPE Network Coordination Centre, 8335, 2.12%
Squarespace,Inc., 7918, 2.01%
WEBSITEWELCOME.COM, 6610, 1.68%
DigitalOcean,LLC, 5031, 1.28%
Liquid Web,L.L.C, 4904, 1.25%
Sucuri, 4191, 1.06%
Amazon Technologies Inc., 3957, 1.0%
Incapsula Inc, 3740, 0.95%
New Dream Network,LLC, 2619, 0.67%
Akamai Technologies,Inc., 2524, 0.64%
GoDaddy.com,LLC, 2275, 0.58%
Namecheap,Inc., 1958, 0.5%
InMotion Hosting,Inc., 1941, 0.49%
Asia Pacific Network Information Centre, 1865, 0.47%
Linode, 1555, 0.39%
Amazon Data Services Ireland Limited, 1549, 0.39%
XSERVER Inc., 1492, 0.38%
A2 Hosting,Inc., 1471, 0.37%
Amazon Data Services NoVa, 1420, 0.36%
Team Internet AG, 1387, 0.35%
OVH Hosting,Inc., 1344, 0.34%
Fastly, 1019, 0.26%
SingleHop LLC, 940, 0.24%
Microsoft Corporation, 904, 0.23%
Vultr Holdings,LLC, 840, 0.21%
Transferred to the RIPE region on 2018-08-27T14, 840, 0.21%
NEXT DIMENSION INC, 798, 0.2%
PrivateSystems Networks GA, 750, 0.19%
Server Central Network, 647, 0.16%
HostDime.com,Inc., 642, 0.16%
NOC4Hosts Inc., 639, 0.16%
Hawk Host Inc., 631, 0.16%
Rackspace Hosting, 576, 0.15%
PDR, 552, 0.14%
StackPath,LLC., 526, 0.13%
A100 ROW GmbH, 512, 0.13%
SYNERGY WHOLESALE PTY LTD, 419, 0.11%
GMO Internet,Inc., 398, 0.1%
WPEngine,Inc., 366, 0.09%
SingleHop BV, 356, 0.09%
Interserver,Inc, 355, 0.09%
P.D.R Solutions FZC, 328, 0.08%
GitHub,Inc., 303, 0.08%
