2020-05-01
Cloudflare,Inc., 95103, 31.01%
Unknown, 59578, 19.42%
Google LLC, 44302, 14.44%
Shopify,Inc., 12105, 3.95%
Automattic,Inc, 8400, 2.74%
Squarespace,Inc., 7910, 2.58%
WEBSITEWELCOME.COM, 6940, 2.26%
RIPE Network Coordination Centre, 4488, 1.46%
Sucuri, 4217, 1.37%
Digital Ocean, 4061, 1.32%
Unified Layer, 4018, 1.31%
Incapsula Inc, 3729, 1.22%
Liquid Web, 3700, 1.21%
Amazon Technologies Inc., 2857, 0.93%
New Dream Network,LLC, 2589, 0.84%
Akamai Technologies,Inc., 2182, 0.71%
GoDaddy.com,LLC, 1881, 0.61%
InMotion Hosting,Inc., 1734, 0.57%
Namecheap,Inc., 1652, 0.54%
XSERVER Inc., 1436, 0.47%
SiteGround, 1407, 0.46%
A2 Hosting,Inc., 1269, 0.41%
Linode, 1123, 0.37%
None, 952, 0.31%
SingleHop LLC, 920, 0.3%
Amazon Data Services NoVa, 879, 0.29%
OVH, 782, 0.25%
Hawk Host Inc., 711, 0.23%
Vultr Holdings,LLC, 648, 0.21%
Asia Pacific Network Information Centre, 637, 0.21%
Microsoft Corporation, 501, 0.16%
PrivateSystems Networks GA, 500, 0.16%
Amazon.com,Inc., 470, 0.15%
HostDime.com,Inc., 462, 0.15%
Amazon Data Services Ireland Limited, 459, 0.15%
StackPath,LLC., 435, 0.14%
Transferred to the RIPE region on 2018-08-27T14, 418, 0.14%
SYNERGY WHOLESALE PTY LTD, 370, 0.12%
Web Hosting, 362, 0.12%
NOC4Hosts Inc., 298, 0.1%
InMotion Hosting, 286, 0.09%
A100 ROW GmbH, 285, 0.09%
Hetzner Online GmbH, 260, 0.08%
HostPapa, 256, 0.08%
SoftLayer Technologies Inc., 242, 0.08%
Early registration addresses, 233, 0.08%
MCI Communications Services,Inc. d/b/a Verizon Business, 232, 0.08%
co.uk., 223, 0.07%
Rackspace, 216, 0.07%
Steadfast, 212, 0.07%
Pressable, 200, 0.07%
ANS Communications,Inc, 198, 0.06%
Master Internet, 193, 0.06%
Vodien Internet Solutions Pte Ltd, 193, 0.06%
PrivateSystems Networks WA, 171, 0.06%
The Endurance International Group,Inc., 169, 0.06%
