2020-01-01
Cloudflare,Inc., 91305, 42.35%
Unknown, 33431, 15.51%
Google LLC, 21445, 9.95%
Shopify,Inc., 11837, 5.49%
Automattic,Inc, 8444, 3.92%
Squarespace,Inc., 7891, 3.66%
SiteGround, 5441, 2.52%
Sucuri, 4196, 1.95%
Incapsula Inc, 3626, 1.68%
RIPE Network Coordination Centre, 3573, 1.66%
Digital Ocean, 2341, 1.09%
Akamai Technologies,Inc., 1968, 0.91%
SingleHop LLC, 1356, 0.63%
None, 1308, 0.61%
Liquid Web, 1113, 0.52%
Amazon Technologies Inc., 1035, 0.48%
Linode, 698, 0.32%
A2 Hosting,Inc., 564, 0.26%
Vultr Holdings,LLC, 481, 0.22%
Web Hosting, 402, 0.19%
SYNERGY WHOLESALE PTY LTD, 373, 0.17%
Hetzner Online GmbH, 349, 0.16%
StackPath,LLC., 334, 0.15%
Hawk Host Inc., 319, 0.15%
OVH, 316, 0.15%
Amazon.com,Inc., 310, 0.14%
Early registration addresses, 217, 0.1%
MCI Communications Services,Inc. d/b/a Verizon Business, 214, 0.1%
Transferred to the RIPE region on 2018-08-27T14, 210, 0.1%
Master Internet, 206, 0.1%
Amazon Data Services NoVa, 201, 0.09%
ANS Communications,Inc, 185, 0.09%
Microsoft Corporation, 183, 0.08%
Amazon Data Services Ireland Limited, 171, 0.08%
Pressable, 166, 0.08%
Asia Pacific Network Information Centre, 158, 0.07%
DigiRock,Inc., 140, 0.06%
Nazwa, 138, 0.06%
one.com., 121, 0.06%
timeweb.ru., 121, 0.06%
PSINet,Inc., 112, 0.05%
PrivateSystems Networks GA, 108, 0.05%
Hostopia Australia Web Pty Ltd, 108, 0.05%
A100 ROW GmbH, 106, 0.05%
pair Networks, 104, 0.05%
DIGITAL PACIFIC PTY LTD, 96, 0.04%
Inhosted Lp., 96, 0.04%
Rackspace, 82, 0.04%
Hostopia Australia Pty Ltd, 81, 0.04%
Alibaba.com LLC, 81, 0.04%
AZDIGI-VN, 79, 0.04%
Contabo GmbH, 77, 0.04%
Online S.A.S., 73, 0.03%
Alibaba (US) Technology Co.,Ltd., 72, 0.03%
CarsForSale.com, 71, 0.03%
Rochen US,Inc., 70, 0.03%
NOC4Hosts Inc., 65, 0.03%
Incapsula Inc., 60, 0.03%
SoftLayer Technologies Inc., 58, 0.03%
iWeb Technologies Inc., 57, 0.03%
Aptum Technologies, 56, 0.03%
Steadfast, 55, 0.03%
GoDaddy.com,LLC, 54, 0.03%
Hostwinds LLC., 51, 0.02%
GMO DigiRock,Inc., 51, 0.02%
The Endurance International Group,Inc., 48, 0.02%
VeeroTech Systems LLC, 48, 0.02%
Amazon Data Services UK, 46, 0.02%
SUPERDATA-VN, 45, 0.02%
SECURED SERVERS LLC, 45, 0.02%
co.uk., 45, 0.02%
SAKURA Internet Inc., 44, 0.02%
UD Media GmbH, 43, 0.02%
African Network Information Center, 42, 0.02%
RamNode LLC, 41, 0.02%
TierPoint,LLC, 41, 0.02%
HostRocket Web Services, 41, 0.02%
Gino, 41, 0.02%
GZO, 40, 0.02%
Psychz Networks, 40, 0.02%
SiteTech Solutions Limited, 39, 0.02%
WZ Communications Inc., 39, 0.02%
HostDime.com,Inc., 36, 0.02%
Interserver,Inc, 35, 0.02%
OVH (NWK), 35, 0.02%
BigScoots, 34, 0.02%
DFW Internet Services,Inc., 33, 0.02%
Serverfreak Technologies Sdn Bhd, 33, 0.02%
QuadraNet Enterprises LLC, 32, 0.01%
Taipei Taiwan, 31, 0.01%
OVH Singapore PTE. LTD, 31, 0.01%
Amazon Data Services India, 30, 0.01%
GMO Internet,Inc., 30, 0.01%
kasserver.com., 30, 0.01%
Vietnam Internet Network Information Center (VNNIC), 29, 0.01%
TechEVE Ltd, 28, 0.01%
Niagahoster, 28, 0.01%
Surabaya, 27, 0.01%
mouser electronics, 27, 0.01%
iq.pl., 26, 0.01%
NEXCESS.NET L.L.C., 26, 0.01%
FranTech Solutions, 26, 0.01%
Amazon Data Services Brazil, 26, 0.01%
Crucial Web Hosting,Ltd., 26, 0.01%
CloudRadium L.L.C, 26, 0.01%
UpCloud USA Inc, 26, 0.01%
., 25, 0.01%
PRETECS NETWORKS INC., 25, 0.01%
Internet Hosting LLC, 25, 0.01%
1&1 IONOS Inc., 24, 0.01%
Cross Geminis Limited, 24, 0.01%
Internap Holding LLC, 24, 0.01%
concept-shop.com., 24, 0.01%
Tajo Tecnologia Ltda, 23, 0.01%
OVH US LLC, 23, 0.01%
Interactive Educational Services,Inc., 23, 0.01%
Beijing 100088, 23, 0.01%
beget.com., 22, 0.01%
ddos-guard.net., 22, 0.01%
irwebspace.com., 22, 0.01%
irandns.com., 22, 0.01%
Hostiserver Ltd, 22, 0.01%
t-ipconnect.de., 22, 0.01%
Amazon Data Services Singapore, 22, 0.01%
Amazon Corporate Services Pty Ltd, 20, 0.01%
DFW Datacenter, 20, 0.01%
parsonline.net., 19, 0.01%
WholeSale Internet,Inc., 19, 0.01%
GEEKSTORAGE.COM,LLC, 18, 0.01%
PEG TECH INC, 18, 0.01%
NetInternet Information Technologies Inc., 17, 0.01%
Hurricane Electric LLC, 17, 0.01%
Turhost, 17, 0.01%
Latin American and Caribbean IP address Regional Registry, 17, 0.01%
MDDHosting LLC, 17, 0.01%
GigeNET, 16, 0.01%
Host Duplex,LLC, 16, 0.01%
SG-8-TO-SG, 16, 0.01%
Shinjiru Technology Sdn Bhd, 16, 0.01%
China Telecom, 16, 0.01%
PrivateSystems Networks WA, 16, 0.01%
Comcast Cable Communications,LLC, 16, 0.01%
HIVELOCITY,Inc., 16, 0.01%
GMO CLOUD K.K., 16, 0.01%
Foroquimica SL, 16, 0.01%
Incapsula, 15, 0.01%
AWS Asia Pacific (Seoul) Region, 15, 0.01%
axspace.com., 15, 0.01%
PT Dewaweb Cloud ID, 15, 0.01%
VIA-ONLINE GmbH, 15, 0.01%
Asiatech Data Transfer Inc PLC, 15, 0.01%
Hostinger International Limited, 15, 0.01%
ReliableSite.Net LLC, 15, 0.01%
Cloud Host Pte Ltd, 15, 0.01%
GorillaServers,Inc., 15, 0.01%
hostdl.com., 14, 0.01%
6th Floor,Ocean Park Tower,No 1 Dao Duy Anh Street,Dong Da disstrict,Ha Noi City, 14, 0.01%
bertina.biz., 14, 0.01%
Media Temple,Inc., 14, 0.01%
GMO DIGIROCK,Inc., 14, 0.01%
octosquid.com., 14, 0.01%
Yogyakarta,55161, 14, 0.01%
meu-servidor.com., 14, 0.01%
firstfind.nl., 13, 0.01%
sl-reverse.com., 13, 0.01%
com.br., 13, 0.01%
KGIX, 13, 0.01%
Shenzhen Tencent Computer Systems Company Limited, 13, 0.01%
daktilo.com., 13, 0.01%
serverpars.net., 13, 0.01%
webhost1.net., 13, 0.01%
faraso.org., 13, 0.01%
cloudwaysapps.com., 13, 0.01%
Amazon Data Services Sweden, 13, 0.01%
ip-51-77-43.eu., 13, 0.01%
PCCW Global,Inc., 13, 0.01%
Centrilogic,Inc., 13, 0.01%
Beyond Hosting,LLC, 13, 0.01%
Servers Australia Pty. Ltd, 12, 0.01%
Indiana University, 12, 0.01%
Hosting Services,Inc., 12, 0.01%
Tangerang Selatan,Banten, 12, 0.01%
Buddy Software LLC, 12, 0.01%
kabel-deutschland.de., 12, 0.01%
American International Group Data Center,Inc., 12, 0.01%
serveriai.lt., 12, 0.01%
Tencent Cloud Computing (Beijing) Co.,Ltd, 12, 0.01%
NTT America,Inc., 12, 0.01%
CenturyLink Communications,LLC, 12, 0.01%
stratoserver.net., 12, 0.01%
Amazon Data Services Canada, 12, 0.01%
DE-TH-CORP, 12, 0.01%
Handy Networks,LLC, 12, 0.01%
Cluster Logic Inc, 11, 0.01%
Net Access Corporation, 11, 0.01%
HostDime, 11, 0.01%
Microsoft Corp, 11, 0.01%
WebNX,Inc., 11, 0.01%
Viet Solutions Services Trading Company Limited, 11, 0.01%
H4Y Technologies LLC, 10, 0.0%
tmweb.ru., 10, 0.0%
Performive LLC, 10, 0.0%
Advanced Online Solutions,Inc., 10, 0.0%
Input Output Flood LLC, 10, 0.0%
Jakarta - Indonesia, 10, 0.0%
Beijing 100032, 10, 0.0%
Baidu, 10, 0.0%
a2webhosting.com., 10, 0.0%
BuyVM, 10, 0.0%
VNPT-AS-AP, 10, 0.0%
QuadraNet,Inc, 10, 0.0%
INTERA-144, 10, 0.0%
H88 S.A., 10, 0.0%
EGIHosting, 10, 0.0%
MULTACOM CORPORATION, 10, 0.0%
Windstream Communications LLC, 10, 0.0%
Fozzy, 10, 0.0%
Amazon Data Services France, 10, 0.0%
Shock Hosting LLC, 9, 0.0%
Limestone Networks,Inc., 9, 0.0%
NETWORK TRANSIT HOLDINGS LLC, 9, 0.0%
OVH Australia PTY LTD, 9, 0.0%
Choopa,LLC, 9, 0.0%
DigitalFyre Internet Solutions,LLC., 9, 0.0%
Psychz Networks Dallas, 9, 0.0%
Stafford Associates Computer Specialists,Inc., 9, 0.0%
Namecheap,Inc., 9, 0.0%
CAMBIUM LEARNING GROUP,INC., 9, 0.0%
Micron21 Datacentre Pty Ltd, 9, 0.0%
Expedient, 9, 0.0%
CLDR DS ID Cloud, 9, 0.0%
example.com., 9, 0.0%
hipex.io., 9, 0.0%
Jl. C. Simanjuntak No.2 Yogyakarta, 9, 0.0%
Charter Communications Inc, 9, 0.0%
maralhost.com., 9, 0.0%
UnoEURO, 9, 0.0%
beget.ru., 9, 0.0%
Persian Gulf Network,LLC, 9, 0.0%
media-courtage.fr., 8, 0.0%
Proinity LLC, 8, 0.0%
Akamai International,BV, 8, 0.0%
Render, 8, 0.0%
transip.net., 8, 0.0%
regruhosting.ru., 8, 0.0%
AERO Trip PRO s.r.o., 8, 0.0%
b-cdn.net., 8, 0.0%
Wowrack.com, 8, 0.0%
PrivateSystems Networks TX, 8, 0.0%
Prisma Networks LLC, 8, 0.0%
Hosting Solution Ltd., 8, 0.0%
bilhandel.dk., 8, 0.0%
NBP, 8, 0.0%
ColoCrossing, 8, 0.0%
abcd.network., 8, 0.0%
NetActuate,Inc, 8, 0.0%
ip-51-81-23.us., 8, 0.0%
VDC Virtual Data Corp., 7, 0.0%
Nocix,LLC, 7, 0.0%
e-kei.pl., 7, 0.0%
45 Street No. 2,Ward 10,Go Vap Dist.,HCMC, 7, 0.0%
SoftLayer Dutch Holdings B.V., 7, 0.0%
maindns.net., 7, 0.0%
Internet Thailand Company Ltd., 7, 0.0%
CLDR.eu, 7, 0.0%
akamaitechnologies.com., 7, 0.0%
procurios.net., 7, 0.0%
ip-149-202-218.eu., 7, 0.0%
Tier.Net Technologies LLC, 7, 0.0%
HostX, 7, 0.0%
Room No. 8.2,8th Floor,Mekong Tower,235-241 Cong Hoa,Ward 13,Tan Binh,Hochiminh, 7, 0.0%
VIETEL-AS-AP, 7, 0.0%
Addresses from CNNIC, 7, 0.0%
Leaseweb USA,Inc., 7, 0.0%
Twinservers Hosting Solutions Inc., 7, 0.0%
Quality Technology Services,LLC, 7, 0.0%
KINX, 7, 0.0%
AT&T Corp., 7, 0.0%
aruba.it., 7, 0.0%
sunucucozumleri.com., 7, 0.0%
QuadraNet Inc., 7, 0.0%
DC74 LLC, 7, 0.0%
upcloud.host., 7, 0.0%
NuCDN LLC, 7, 0.0%
nxcli.net., 7, 0.0%
Xspedius Communications Co., 7, 0.0%
kiapartner.de., 7, 0.0%
Las Vegas NV Datacenter, 7, 0.0%
applikations-server.de., 6, 0.0%
