2020-04-01
Cloudflare,Inc., 93481, 32.8%
Unknown, 51565, 18.09%
Google LLC, 42955, 15.07%
Shopify,Inc., 12002, 4.21%
Automattic,Inc, 8400, 2.95%
Squarespace,Inc., 7913, 2.78%
RIPE Network Coordination Centre, 4272, 1.5%
Sucuri, 4255, 1.49%
Digital Ocean, 3882, 1.36%
Liquid Web, 3734, 1.31%
Incapsula Inc, 3699, 1.3%
Amazon Technologies Inc., 2499, 0.88%
New Dream Network,LLC, 2191, 0.77%
Akamai Technologies,Inc., 2127, 0.75%
GoDaddy.com,LLC, 1920, 0.67%
InMotion Hosting,Inc., 1753, 0.62%
Namecheap,Inc., 1650, 0.58%
SiteGround, 1565, 0.55%
XSERVER Inc., 1421, 0.5%
A2 Hosting,Inc., 1286, 0.45%
None, 1148, 0.4%
Linode, 1092, 0.38%
Amazon Data Services NoVa, 1058, 0.37%
SingleHop LLC, 996, 0.35%
Unified Layer, 812, 0.28%
OVH, 790, 0.28%
Hawk Host Inc., 723, 0.25%
Vultr Holdings,LLC, 616, 0.22%
Asia Pacific Network Information Centre, 599, 0.21%
PrivateSystems Networks GA, 503, 0.18%
HostDime.com,Inc., 478, 0.17%
Amazon.com,Inc., 442, 0.16%
Microsoft Corporation, 439, 0.15%
WEBSITEWELCOME.COM, 432, 0.15%
StackPath,LLC., 431, 0.15%
Amazon Data Services Ireland Limited, 429, 0.15%
Web Hosting, 378, 0.13%
SYNERGY WHOLESALE PTY LTD, 372, 0.13%
Transferred to the RIPE region on 2018-08-27T14, 361, 0.13%
Hetzner Online GmbH, 341, 0.12%
InMotion Hosting, 289, 0.1%
NOC4Hosts Inc., 283, 0.1%
HostPapa, 262, 0.09%
A100 ROW GmbH, 252, 0.09%
SoftLayer Technologies Inc., 247, 0.09%
Early registration addresses, 231, 0.08%
co.uk., 230, 0.08%
MCI Communications Services,Inc. d/b/a Verizon Business, 224, 0.08%
Steadfast, 223, 0.08%
Rackspace, 211, 0.07%
Master Internet, 197, 0.07%
Pressable, 191, 0.07%
ANS Communications,Inc, 188, 0.07%
PrivateSystems Networks WA, 184, 0.06%
Vodien Internet Solutions Pte Ltd, 178, 0.06%
Aptum Technologies, 176, 0.06%
Hostwinds LLC., 161, 0.06%
The Endurance International Group,Inc., 157, 0.06%
Hostopia Australia Web Pty Ltd, 152, 0.05%
iWeb Technologies Inc., 151, 0.05%
SECURED SERVERS LLC, 150, 0.05%
PSINet,Inc., 141, 0.05%
NETWORK TRANSIT HOLDINGS LLC, 138, 0.05%
DigiRock,Inc., 137, 0.05%
AS38719 Routing Object, 137, 0.05%
Media Temple,Inc., 133, 0.05%
Limestone Networks,Inc., 130, 0.05%
one.com., 128, 0.04%
Hosting Services,Inc., 121, 0.04%
Alibaba.com LLC, 121, 0.04%
DIGITAL PACIFIC PTY LTD, 120, 0.04%
pair Networks, 119, 0.04%
Amazon Data Services India, 115, 0.04%
Afrihost, 113, 0.04%
GMO Internet,Inc., 108, 0.04%
Interserver,Inc, 107, 0.04%
Amazon Data Services UK, 102, 0.04%
African Network Information Center, 100, 0.04%
Nazwa, 99, 0.03%
Amazon Corporate Services Pty Ltd, 97, 0.03%
QuadraNet Enterprises LLC, 89, 0.03%
Latin American and Caribbean IP address Regional Registry, 88, 0.03%
Input Output Flood LLC, 87, 0.03%
NEUBOX,LLC, 87, 0.03%
Corporate Colocation Inc., 85, 0.03%
Hostopia Australia Pty Ltd, 84, 0.03%
Web Hosting Hub,Inc, 83, 0.03%
Psychz Networks, 81, 0.03%
Rochen US,Inc., 79, 0.03%
Leaseweb USA,Inc., 78, 0.03%
Alibaba (US) Technology Co.,Ltd., 78, 0.03%
AZDIGI-VN, 78, 0.03%
OVH (NWK), 77, 0.03%
Host Papa,Inc., 71, 0.02%
CarsForSale.com, 70, 0.02%
Inhosted Lp., 66, 0.02%
BigScoots, 64, 0.02%
Amazon Data Services Brazil, 63, 0.02%
Exa Bytes Network Sdn.Bhd., 60, 0.02%
Taipei Taiwan, 60, 0.02%
Serverfreak Technologies Sdn Bhd, 60, 0.02%
Hostway Services,Inc., 60, 0.02%
Amazon Data Services Singapore, 60, 0.02%
NearlyFreeSpeech.NET, 59, 0.02%
Hurricane Electric LLC, 58, 0.02%
HIVELOCITY,Inc., 58, 0.02%
Incapsula Inc., 56, 0.02%
IHNetworks,LLC, 56, 0.02%
Performive LLC, 55, 0.02%
GloboTech Communications, 54, 0.02%
P.D.R Solutions FZC, 54, 0.02%
RamNode LLC, 54, 0.02%
Turnkey Internet Inc., 54, 0.02%
GMO DigiRock,Inc., 54, 0.02%
Choopa,LLC, 53, 0.02%
kasserver.com., 52, 0.02%
SAKURA Internet Inc., 52, 0.02%
VeeroTech Systems LLC, 52, 0.02%
New Taipei City Taiwan, 51, 0.02%
HostRocket Web Services, 51, 0.02%
timeweb.ru., 50, 0.02%
1-grid, 49, 0.02%
DFW Internet Services,Inc., 48, 0.02%
SUPERDATA-VN, 48, 0.02%
Codero, 47, 0.02%
1&1 IONOS Inc., 47, 0.02%
UpCloud USA Inc, 47, 0.02%
WZ Communications Inc., 47, 0.02%
DFW Datacenter, 46, 0.02%
Amazon Data Services Canada, 45, 0.02%
123 Truong Dinh,dist 3,HCMC, 44, 0.02%
Online S.A.S., 44, 0.02%
SiteTech Solutions Limited, 43, 0.02%
UD Media GmbH, 43, 0.02%
netowl,Inc, 43, 0.02%
Bitly Inc, 41, 0.01%
Servers Australia Pty. Ltd, 41, 0.01%
TierPoint,LLC, 40, 0.01%
GZO, 39, 0.01%
Contabo GmbH, 39, 0.01%
agava.net., 39, 0.01%
ReliableSite.Net LLC, 39, 0.01%
com.br., 38, 0.01%
Net Logistics, 38, 0.01%
Surabaya, 38, 0.01%
Expedient, 38, 0.01%
Amazon Data Services France, 37, 0.01%
WestHost,Inc., 37, 0.01%
FranTech Solutions, 36, 0.01%
PrivateSystems Networks TX, 36, 0.01%
Comcast Cable Communications,LLC, 36, 0.01%
WholeSale Internet,Inc., 36, 0.01%
TechEVE Ltd, 35, 0.01%
Akamai International,BV, 35, 0.01%
EBOUNDHOST.com, 35, 0.01%
NEXCESS.NET L.L.C., 34, 0.01%
Jakarta Selatan, 33, 0.01%
Internap Holding LLC, 32, 0.01%
GigeNET, 31, 0.01%
QuadraNet,Inc, 31, 0.01%
Hostiserver Ltd, 31, 0.01%
Handy Networks,LLC, 31, 0.01%
OVH US LLC, 30, 0.01%
Scala Hosting,LLC., 30, 0.01%
Fused Network Corporation, 30, 0.01%
Rose Web Services LLC, 30, 0.01%
PRETECS NETWORKS INC., 29, 0.01%
sl-reverse.com., 29, 0.01%
GorillaServers,Inc., 29, 0.01%
eNET Inc., 28, 0.01%
LJ Hosting Co.,LTD, 27, 0.01%
mouser electronics, 27, 0.01%
Amazon Data Services Sweden, 27, 0.01%
Advanced Online Solutions,Inc., 26, 0.01%
Facebook,Inc., 26, 0.01%
concept-shop.com., 26, 0.01%
Retailer Web Services LLC, 26, 0.01%
ADD2NET,Inc., 25, 0.01%
GEEKSTORAGE.COM,LLC, 25, 0.01%
Shinjiru Technology Sdn Bhd, 25, 0.01%
PDR, 25, 0.01%
Beijing 100088, 25, 0.01%
Cross Geminis Limited, 24, 0.01%
t-ipconnect.de., 24, 0.01%
Charter Communications Inc, 24, 0.01%
Foroquimica SL, 24, 0.01%
redewt.net., 24, 0.01%
VDC Virtual Data Corp., 23, 0.01%
Interactive Educational Services,Inc., 23, 0.01%
OVH Singapore PTE. LTD, 23, 0.01%
Philabits INC, 23, 0.01%
MULTACOM CORPORATION, 23, 0.01%
China Telecom, 23, 0.01%
webofficina.com., 23, 0.01%
Umbrellar Limited, 23, 0.01%
Centrilogic,Inc., 22, 0.01%
Internet Hosting LLC, 22, 0.01%
Liquid Web,Inc, 22, 0.01%
DNS Services, 22, 0.01%
Nocix,LLC, 22, 0.01%
24 SHELLS, 22, 0.01%
Tajo Tecnologia Ltda, 21, 0.01%
A Small Orange, 21, 0.01%
B2 Net Solutions Inc., 21, 0.01%
Vietnam Internet Network Information Center (VNNIC), 21, 0.01%
romania-webhosting.com., 21, 0.01%
CloudRadium L.L.C, 21, 0.01%
WebNX,Inc., 21, 0.01%
Total server solutions LLC, 21, 0.01%
AWS Asia Pacific (Seoul) Region, 20, 0.01%
Host Duplex,LLC, 20, 0.01%
netsons.net., 20, 0.01%
New Taipei City Taiwan 220, 20, 0.01%
irandns.com., 20, 0.01%
Tencent Cloud Computing (Beijing) Co.,Ltd, 20, 0.01%
Monkey Brains, 20, 0.01%
Yogyakarta, 20, 0.01%
MDDHosting LLC, 20, 0.01%
HopOne Internet Corporation, 20, 0.01%
boreus.de., 19, 0.01%
In2net Network Inc., 19, 0.01%
Cluster Logic Inc, 19, 0.01%
Idigital Internet Inc., 19, 0.01%
CYPE Sdn.Bhd., 19, 0.01%
Network Dynamics Pty Ltd, 19, 0.01%
Yogyakarta,55161, 19, 0.01%
University of Maryland, 19, 0.01%
hostinet.com., 19, 0.01%
Microsoft Corp, 19, 0.01%
KGIX, 18, 0.01%
ddos-guard.net., 18, 0.01%
EGIHosting, 18, 0.01%
Strong Technology,LLC., 18, 0.01%
Route Object, 18, 0.01%
Cyber Wurx LLC, 18, 0.01%
Gino, 18, 0.01%
NuCDN LLC, 18, 0.01%
Shenzhen Tencent Computer Systems Company Limited, 17, 0.01%
SG.GS, 17, 0.01%
eStruxture Data Centers Inc., 17, 0.01%
GMO DIGIROCK,Inc., 17, 0.01%
Beyond Hosting,LLC, 17, 0.01%
SG-8-TO-SG, 16, 0.01%
Hudson Valley Host, 16, 0.01%
PEG TECH INC, 16, 0.01%
6th Floor,Ocean Park Tower,No 1 Dao Duy Anh Street,Dong Da disstrict,Ha Noi City, 16, 0.01%
VIA-ONLINE GmbH, 16, 0.01%
in-addr.arpa., 16, 0.01%
CLDR.eu, 16, 0.01%
Wowrack.com, 16, 0.01%
sphostserver.com., 16, 0.01%
Wisconsin CyberLynk Network,Inc., 16, 0.01%
com.tr., 16, 0.01%
Server Central Network, 15, 0.01%
ColoCrossing, 15, 0.01%
daktilo.com., 15, 0.01%
Tangerang Selatan,Banten, 15, 0.01%
Public domain registry Operations, 15, 0.01%
hostland.ru., 15, 0.01%
Niagahoster, 15, 0.01%
H88 S.A., 15, 0.01%
Web Address Registration PTY LTD, 15, 0.01%
Windstream Communications LLC, 15, 0.01%
Jumpline Inc, 15, 0.01%
contact, 15, 0.01%
Stack Harbor Inc., 14, 0.0%
ACENET,INC., 14, 0.0%
Boxwood Technology, 14, 0.0%
Transferred to the RIPE region on 2018-06-27T02, 14, 0.0%
Atlantic.Net - New York,NY, 14, 0.0%
Render, 14, 0.0%
Asiatech Data Transfer Inc PLC, 14, 0.0%
Znet Cloud Services, 14, 0.0%
Baidu, 14, 0.0%
GMO CLOUD K.K., 14, 0.0%
Esosoft Corporation, 14, 0.0%
ip-51-77-43.eu., 14, 0.0%
Tier.Net Technologies LLC, 14, 0.0%
Level 3 Parent,LLC, 14, 0.0%
TekTonic, 14, 0.0%
ukfast.net., 14, 0.0%
USONYX PTE LTD, 14, 0.0%
de-nserver.de., 14, 0.0%
TotalChoice Hosting,LLC, 14, 0.0%
KENET, 13, 0.0%
Advanced Internet Technologies,Inc., 13, 0.0%
Charter Communications, 13, 0.0%
Beijing 100032, 13, 0.0%
NetInternet Information Technologies Inc., 13, 0.0%
bertina.biz., 13, 0.0%
Athenix Inc., 13, 0.0%
VNPT-AS-AP, 13, 0.0%
AT&T Corp., 13, 0.0%
Crucial Web Hosting,Ltd., 13, 0.0%
Stafford Associates Computer Specialists,Inc., 13, 0.0%
Jl. C. Simanjuntak No.2 Yogyakarta, 13, 0.0%
Host Papa, 13, 0.0%
A Small Orange LLC, 13, 0.0%
Enzu Inc, 13, 0.0%
SAPIOTERRA,LLC, 13, 0.0%
PCCW Global,Inc., 13, 0.0%
RunAbove, 13, 0.0%
DiaMatrix Cloud, 13, 0.0%
aruba.it., 13, 0.0%
i-System Technology Limited, 13, 0.0%
EZProvider Networks,Inc., 12, 0.0%
JAKARTA, 12, 0.0%
Indiana University, 12, 0.0%
Exabytes Network (Singapore) Pte. Ltd., 12, 0.0%
stratoserver.net., 12, 0.0%
Leapswitch, 12, 0.0%
kabel-deutschland.de., 12, 0.0%
CariNet,Inc., 12, 0.0%
American International Group Data Center,Inc., 12, 0.0%
CenturyLink Communications,LLC, 12, 0.0%
CERFnet, 12, 0.0%
Micron21 Datacentre Pty Ltd, 12, 0.0%
faraso.org., 12, 0.0%
Jakarta, 12, 0.0%
Psychz Networks Dallas, 12, 0.0%
ZOHO, 12, 0.0%
OLM,LLC, 12, 0.0%
Complete Digital Solutions,LLC., 12, 0.0%
Cloud Host Pte Ltd, 12, 0.0%
DE-TH-CORP, 12, 0.0%
Route for 103.212.120.0/23, 12, 0.0%
ManagedWay, 12, 0.0%
LayerHost, 12, 0.0%
Dallas Data Center, 11, 0.0%
Cloud South, 11, 0.0%
Infolink Global Corporation, 11, 0.0%
QuickPacket,LLC, 11, 0.0%
Lowest Host/Empire Technology LLC, 11, 0.0%
1 GRID (PTY) LTD, 11, 0.0%
ServerBeach, 11, 0.0%
Internet Thailand Company Ltd., 11, 0.0%
Hostinger International Limited, 11, 0.0%
INTERA-144, 11, 0.0%
HostDime, 11, 0.0%
meu-servidor.com., 11, 0.0%
NBP, 11, 0.0%
Incapsula, 11, 0.0%
KVCHOSTING.COM LLC, 11, 0.0%
OC1-Conseev LLC, 11, 0.0%
SMILESERV, 11, 0.0%
upcloud.host., 11, 0.0%
Nobis Technology Group,LLC, 11, 0.0%
Idigital Internet Toronto, 10, 0.0%
Amanah Tech Inc., 10, 0.0%
Shock Hosting LLC, 10, 0.0%
akamaitechnologies.com., 10, 0.0%
fastcpanelserver.com., 10, 0.0%
BSD-City,Tangerang,Banten 15321., 10, 0.0%
Strasmore,Inc., 10, 0.0%
Room No. 8.2,8th Floor,Mekong Tower,235-241 Cong Hoa,Ward 13,Tan Binh,Hochiminh, 10, 0.0%
tw telecom holdings,inc., 10, 0.0%
Dimension Data (Pty) Ltd - Optinet, 10, 0.0%
Fluccs Australia, 10, 0.0%
FDCservers.net, 10, 0.0%
NetActuate,Inc, 10, 0.0%
AERO Trip PRO s.r.o., 10, 0.0%
Net Access Corporation, 10, 0.0%
KrollDiscovery, 10, 0.0%
Xspedius Communications Co., 10, 0.0%
QuadraNet Inc., 10, 0.0%
Oracle Public Cloud, 10, 0.0%
Linode,LLC, 10, 0.0%
Fozzy, 10, 0.0%
Persian Gulf Network,LLC, 10, 0.0%
Nimbus2 Pty Ltd, 10, 0.0%
ARYAN ICT Solutions,LLC, 9, 0.0%
avahost.net., 9, 0.0%
OVH Australia PTY LTD, 9, 0.0%
No 1,Tran Huu Duc street,My Dinh 2 ward,Nam Tu Liem district,Ha Noi City, 9, 0.0%
47.pl., 9, 0.0%
DC74 LLC, 9, 0.0%
CAMBIUM LEARNING GROUP,INC., 9, 0.0%
Flexential Corp., 9, 0.0%
XMission,L.C., 9, 0.0%
HostMySite, 9, 0.0%
areda.pl., 9, 0.0%
Cirrus Tech Ltd., 9, 0.0%
BuyVM, 9, 0.0%
net.uk., 9, 0.0%
DAOU TECHNOLOGY, 9, 0.0%
Network Data Center Host,Inc., 9, 0.0%
webhost1.net., 9, 0.0%
MilesWeb Internet Services Pvt Ltd, 9, 0.0%
com.ua., 8, 0.0%
Depok, 8, 0.0%
axspace.com., 8, 0.0%
Binary Net,LLC, 8, 0.0%
ip-46-105-40.eu., 8, 0.0%
dragonhispeed, 8, 0.0%
SoftLayer Dutch Holdings B.V., 8, 0.0%
Serversaurus, 8, 0.0%
Flexential Colorado Corp., 8, 0.0%
GoHosting, 8, 0.0%
scw.cloud., 8, 0.0%
OC1-Mochahost,LLC, 8, 0.0%
CtrlS, 8, 0.0%
