2020-09-01
Cloudflare,Inc., 98158, 27.83%
Unknown, 80120, 22.71%
Google LLC, 46044, 13.05%
Shopify,Inc., 12450, 3.53%
Amazon.com,Inc., 9889, 2.8%
Automattic,Inc, 8358, 2.37%
Squarespace,Inc., 7927, 2.25%
Unified Layer, 6897, 1.96%
WEBSITEWELCOME.COM, 6664, 1.89%
RIPE Network Coordination Centre, 6140, 1.74%
DigitalOcean,LLC, 4272, 1.21%
Sucuri, 4197, 1.19%
Liquid Web,L.L.C, 4010, 1.14%
Incapsula Inc, 3703, 1.05%
Amazon Technologies Inc., 3371, 0.96%
New Dream Network,LLC, 2586, 0.73%
Akamai Technologies,Inc., 2497, 0.71%
GoDaddy.com,LLC, 1812, 0.51%
Namecheap,Inc., 1799, 0.51%
InMotion Hosting,Inc., 1789, 0.51%
XSERVER Inc., 1457, 0.41%
Amazon Data Services NoVa, 1378, 0.39%
Linode, 1332, 0.38%
Team Internet AG, 1320, 0.37%
A2 Hosting,Inc., 1246, 0.35%
Asia Pacific Network Information Centre, 1088, 0.31%
OVH Hosting,Inc., 944, 0.27%
SingleHop LLC, 788, 0.22%
NEXT DIMENSION INC, 770, 0.22%
Hawk Host Inc., 710, 0.2%
Amazon Data Services Ireland Limited, 703, 0.2%
Microsoft Corporation, 697, 0.2%
Vultr Holdings,LLC, 681, 0.19%
Transferred to the RIPE region on 2018-08-27T14, 665, 0.19%
PDR, 582, 0.16%
Rackspace Hosting, 554, 0.16%
PrivateSystems Networks GA, 509, 0.14%
StackPath,LLC., 507, 0.14%
HostDime.com,Inc., 476, 0.13%
NOC4Hosts Inc., 416, 0.12%
A100 ROW GmbH, 409, 0.12%
SYNERGY WHOLESALE PTY LTD, 382, 0.11%
P.D.R Solutions FZC, 333, 0.09%
GitHub,Inc., 318, 0.09%
Fastly, 290, 0.08%
InMotion Hosting, 274, 0.08%
SoftLayer Technologies Inc., 262, 0.07%
HostPapa, 249, 0.07%
MCI Communications Services,Inc. d/b/a Verizon Business, 236, 0.07%
Early registration addresses, 230, 0.07%
Steadfast, 225, 0.06%
The Endurance International Group,Inc., 220, 0.06%
