2019-07-01
Cloudflare,Inc., 87884, 50.63%
Unknown, 17550, 10.11%
Google LLC, 16997, 9.79%
Automattic,Inc, 8486, 4.89%
Squarespace,Inc., 7878, 4.54%
SiteGround, 5531, 3.19%
Sucuri, 4155, 2.39%
Incapsula Inc, 3583, 2.06%
RIPE Network Coordination Centre, 2743, 1.58%
Digital Ocean, 1583, 0.91%
None, 1388, 0.8%
SingleHop LLC, 1207, 0.7%
Hawk Host Inc., 694, 0.4%
Hetzner Online GmbH, 589, 0.34%
A2 Hosting,Inc., 582, 0.34%
Linode, 532, 0.31%
Liquid Web, 469, 0.27%
Web Hosting, 462, 0.27%
Amazon Technologies Inc., 458, 0.26%
OVH, 239, 0.14%
MCI Communications Services,Inc. d/b/a Verizon Business, 230, 0.13%
Early registration addresses, 221, 0.13%
SYNERGY WHOLESALE PTY LTD, 211, 0.12%
Nazwa, 205, 0.12%
Master Internet, 202, 0.12%
Amazon.com,Inc., 174, 0.1%
StackPath,LLC., 170, 0.1%
Zenbox, 168, 0.1%
ANS Communications,Inc, 163, 0.09%
Inhosted Lp., 157, 0.09%
Amazon Data Services Ireland Limited, 147, 0.08%
Vultr Holdings,LLC, 144, 0.08%
Asiatech Data Transfer Inc PLC, 142, 0.08%
DigiRock,Inc., 140, 0.08%
one.com., 118, 0.07%
Bigcommerce Inc., 114, 0.07%
Microsoft Corporation, 110, 0.06%
Hostopia Australia Web Pty Ltd, 109, 0.06%
DIGITAL PACIFIC PTY LTD, 100, 0.06%
HostDime.com,Inc., 91, 0.05%
SoftLayer Technologies Inc., 87, 0.05%
co.uk., 87, 0.05%
PrivateSystems Networks GA, 85, 0.05%
Hostopia Australia Pty Ltd, 82, 0.05%
webhost1.net., 80, 0.05%
PSINet,Inc., 78, 0.04%
Gino, 74, 0.04%
CrocWeb, 74, 0.04%
Online S.A.S., 73, 0.04%
atman.pl., 73, 0.04%
Hostwinds LLC., 70, 0.04%
Rochen US,Inc., 69, 0.04%
Amazon Data Services NoVa, 66, 0.04%
Interserver,Inc, 63, 0.04%
iWeb Technologies Inc., 63, 0.04%
Incapsula Inc., 62, 0.04%
A100 ROW GmbH, 62, 0.04%
Rackspace, 60, 0.03%
Turhost, 60, 0.03%
Cyber Wurx LLC, 60, 0.03%
Asia Pacific Network Information Centre, 58, 0.03%
Transferred to the RIPE region on 2018-08-27T14, 58, 0.03%
NOC4Hosts Inc., 55, 0.03%
zColo, 55, 0.03%
GMO DigiRock,Inc., 53, 0.03%
Steadfast, 50, 0.03%
ISPrime,Inc., 48, 0.03%
Niagahoster, 47, 0.03%
SECURED SERVERS LLC, 47, 0.03%
ddos-guard.net., 45, 0.03%
VeeroTech Systems LLC, 44, 0.03%
UD Media GmbH, 44, 0.03%
