2020-02-01
Cloudflare,Inc., 92188, 36.5%
Unknown, 38910, 15.41%
Google LLC, 37856, 14.99%
Shopify,Inc., 11876, 4.7%
Automattic,Inc, 8438, 3.34%
Squarespace,Inc., 7923, 3.14%
Sucuri, 4213, 1.67%
SiteGround, 4185, 1.66%
Incapsula Inc, 3672, 1.45%
RIPE Network Coordination Centre, 3615, 1.43%
Liquid Web, 3606, 1.43%
Digital Ocean, 2860, 1.13%
Akamai Technologies,Inc., 2042, 0.81%
GoDaddy.com,LLC, 1817, 0.72%
Namecheap,Inc., 1686, 0.67%
None, 1405, 0.56%
SingleHop LLC, 1290, 0.51%
Unified Layer, 1154, 0.46%
Amazon Technologies Inc., 1048, 0.41%
InMotion Hosting,Inc., 946, 0.37%
Linode, 879, 0.35%
A2 Hosting,Inc., 823, 0.33%
Vultr Holdings,LLC, 534, 0.21%
OVH, 520, 0.21%
PrivateSystems Networks GA, 486, 0.19%
WEBSITEWELCOME.COM, 467, 0.18%
Web Hosting, 395, 0.16%
Hetzner Online GmbH, 381, 0.15%
SYNERGY WHOLESALE PTY LTD, 375, 0.15%
StackPath,LLC., 362, 0.14%
HostDime.com,Inc., 304, 0.12%
Amazon Data Services NoVa, 284, 0.11%
Amazon Data Services Ireland Limited, 245, 0.1%
Amazon.com,Inc., 235, 0.09%
Transferred to the RIPE region on 2018-08-27T14, 230, 0.09%
Early registration addresses, 226, 0.09%
MCI Communications Services,Inc. d/b/a Verizon Business, 215, 0.09%
Microsoft Corporation, 206, 0.08%
Master Internet, 202, 0.08%
NOC4Hosts Inc., 196, 0.08%
SoftLayer Technologies Inc., 188, 0.07%
Asia Pacific Network Information Centre, 185, 0.07%
ANS Communications,Inc, 183, 0.07%
co.uk., 178, 0.07%
Pressable, 175, 0.07%
PrivateSystems Networks WA, 175, 0.07%
NETWORK TRANSIT HOLDINGS LLC, 141, 0.06%
DigiRock,Inc., 139, 0.06%
InMotion Hosting, 132, 0.05%
Nazwa, 125, 0.05%
A100 ROW GmbH, 125, 0.05%
Hostopia Australia Web Pty Ltd, 124, 0.05%
iWeb Technologies Inc., 123, 0.05%
PSINet,Inc., 121, 0.05%
one.com., 119, 0.05%
DIGITAL PACIFIC PTY LTD, 114, 0.05%
Afrihost, 113, 0.04%
Hostwinds LLC., 109, 0.04%
Rackspace, 107, 0.04%
The Endurance International Group,Inc., 106, 0.04%
pair Networks, 106, 0.04%
Interserver,Inc, 104, 0.04%
Steadfast, 97, 0.04%
Media Temple,Inc., 96, 0.04%
SECURED SERVERS LLC, 92, 0.04%
Alibaba.com LLC, 92, 0.04%
timeweb.ru., 84, 0.03%
AZDIGI-VN, 83, 0.03%
Inhosted Lp., 83, 0.03%
PDR, 82, 0.03%
Hostopia Australia Pty Ltd, 80, 0.03%
Leaseweb USA,Inc., 77, 0.03%
African Network Information Center, 75, 0.03%
Rochen US,Inc., 73, 0.03%
Alibaba (US) Technology Co.,Ltd., 72, 0.03%
CarsForSale.com, 70, 0.03%
Aptum Technologies, 68, 0.03%
Psychz Networks, 62, 0.02%
BigScoots, 61, 0.02%
Incapsula Inc., 58, 0.02%
QuadraNet Enterprises LLC, 58, 0.02%
DFW Datacenter, 58, 0.02%
Hostway Services,Inc., 58, 0.02%
NearlyFreeSpeech.NET, 58, 0.02%
RamNode LLC, 56, 0.02%
OVH (NWK), 53, 0.02%
Amazon Data Services UK, 52, 0.02%
IHNetworks,LLC, 52, 0.02%
Amazon Data Services India, 51, 0.02%
GMO DigiRock,Inc., 51, 0.02%
Taipei Taiwan, 48, 0.02%
DFW Internet Services,Inc., 48, 0.02%
HostRocket Web Services, 48, 0.02%
SAKURA Internet Inc., 47, 0.02%
Limestone Networks,Inc., 46, 0.02%
VeeroTech Systems LLC, 46, 0.02%
WZ Communications Inc., 45, 0.02%
Hosting Services,Inc., 44, 0.02%
Latin American and Caribbean IP address Regional Registry, 44, 0.02%
SUPERDATA-VN, 44, 0.02%
Turnkey Internet Inc., 44, 0.02%
UD Media GmbH, 43, 0.02%
Codero, 41, 0.02%
SiteTech Solutions Limited, 40, 0.02%
TierPoint,LLC, 40, 0.02%
1&1 IONOS Inc., 39, 0.02%
GZO, 39, 0.02%
Online S.A.S., 39, 0.02%
Bitly Inc, 36, 0.01%
FranTech Solutions, 35, 0.01%
Choopa,LLC, 34, 0.01%
Serverfreak Technologies Sdn Bhd, 34, 0.01%
kasserver.com., 34, 0.01%
Gino, 34, 0.01%
PrivateSystems Networks TX, 34, 0.01%
Hurricane Electric LLC, 34, 0.01%
Contabo GmbH, 32, 0.01%
OVH Singapore PTE. LTD, 32, 0.01%
Amazon Data Services Brazil, 32, 0.01%
Corporate Colocation Inc., 32, 0.01%
GorillaServers,Inc., 32, 0.01%
PRETECS NETWORKS INC., 31, 0.01%
HIVELOCITY,Inc., 30, 0.01%
NEXCESS.NET L.L.C., 30, 0.01%
Scala Hosting,LLC., 30, 0.01%
Internap Holding LLC, 30, 0.01%
GMO Internet,Inc., 30, 0.01%
Fused Network Corporation, 30, 0.01%
Performive LLC, 30, 0.01%
Surabaya, 29, 0.01%
Hostiserver Ltd, 29, 0.01%
ADD2NET,Inc., 28, 0.01%
TechEVE Ltd, 28, 0.01%
QuadraNet,Inc, 28, 0.01%
